"city","weather","visibility","temp","temp_min","temp_max","pressure","humidity","wind_speed","wind_deg","forecast_datetime"
"Seoul","Rain",10000,24.74,22.02,24.74,1005,94,0.93,103,"2024-07-09 12:00:00"
"Seoul","Rain",10000,23.75,21.76,23.75,1004,96,1.8,114,"2024-07-09 15:00:00"
"Seoul","Rain",1640,22.49,21.36,22.49,1002,97,2.31,94,"2024-07-09 18:00:00"
"Seoul","Rain",6759,21.31,21.31,21.31,1000,98,2.21,68,"2024-07-09 21:00:00"
"Seoul","Rain",8930,21.32,21.32,21.32,1000,97,1.71,24,"2024-07-10 00:00:00"
"Seoul","Rain",10000,21.99,21.99,21.99,999,94,1.73,25,"2024-07-10 03:00:00"
"Seoul","Rain",10000,23.14,23.14,23.14,999,89,0.98,29,"2024-07-10 06:00:00"
"Seoul","Rain",10000,24.04,24.04,24.04,1000,87,0.98,218,"2024-07-10 09:00:00"
"Seoul","Clouds",10000,22.48,22.48,22.48,1001,93,1.77,209,"2024-07-10 12:00:00"
"Seoul","Clouds",10000,21.72,21.72,21.72,1002,95,1.15,162,"2024-07-10 15:00:00"
"Seoul","Clouds",10000,21.1,21.1,21.1,1002,97,0.56,78,"2024-07-10 18:00:00"
"Seoul","Clear",10000,21.05,21.05,21.05,1002,97,1.12,146,"2024-07-10 21:00:00"
"Seoul","Clouds",10000,24.71,24.71,24.71,1003,81,0.52,122,"2024-07-11 00:00:00"
"Seoul","Clouds",10000,29.4,29.4,29.4,1002,60,0.12,265,"2024-07-11 03:00:00"
"Seoul","Clouds",10000,31.37,31.37,31.37,1001,49,2.75,223,"2024-07-11 06:00:00"
"Seoul","Clear",10000,28.24,28.24,28.24,1001,61,3.83,249,"2024-07-11 09:00:00"
"Seoul","Clear",10000,25.54,25.54,25.54,1002,72,1.4,240,"2024-07-11 12:00:00"
"Seoul","Clear",10000,24.24,24.24,24.24,1002,80,1.31,231,"2024-07-11 15:00:00"
"Seoul","Clear",10000,23.23,23.23,23.23,1002,85,0.94,243,"2024-07-11 18:00:00"
"Seoul","Clear",10000,22.68,22.68,22.68,1002,87,0.28,167,"2024-07-11 21:00:00"
"Seoul","Clear",10000,26.7,26.7,26.7,1003,69,0.49,242,"2024-07-12 00:00:00"
"Seoul","Clouds",10000,31.38,31.38,31.38,1002,51,0.79,262,"2024-07-12 03:00:00"
"Seoul","Clouds",10000,33.32,33.32,33.32,1001,41,2.1,253,"2024-07-12 06:00:00"
"Seoul","Rain",10000,28.74,28.74,28.74,1001,61,3.93,267,"2024-07-12 09:00:00"
"Seoul","Rain",10000,26.45,26.45,26.45,1003,70,0.96,294,"2024-07-12 12:00:00"
"Seoul","Rain",10000,25.67,25.67,25.67,1003,77,0.44,262,"2024-07-12 15:00:00"
"Seoul","Clouds",10000,24.76,24.76,24.76,1003,80,0.23,77,"2024-07-12 18:00:00"
"Seoul","Rain",10000,24.16,24.16,24.16,1004,83,0.61,143,"2024-07-12 21:00:00"
"Seoul","Clouds",10000,26.99,26.99,26.99,1005,68,2.06,91,"2024-07-13 00:00:00"
"Seoul","Clouds",10000,30.72,30.72,30.72,1005,44,4.36,101,"2024-07-13 03:00:00"
"Seoul","Clouds",10000,32.62,32.62,32.62,1004,39,4.19,130,"2024-07-13 06:00:00"
"Seoul","Clouds",10000,29.84,29.84,29.84,1005,52,5.01,140,"2024-07-13 09:00:00"
"Seoul","Rain",10000,25.96,25.96,25.96,1007,72,2.61,127,"2024-07-13 12:00:00"
"Seoul","Clouds",10000,25,25,25,1008,75,1.53,58,"2024-07-13 15:00:00"
"Seoul","Clouds",10000,23.25,23.25,23.25,1008,78,1.67,59,"2024-07-13 18:00:00"
"Seoul","Clouds",10000,22.2,22.2,22.2,1009,76,1.53,71,"2024-07-13 21:00:00"
"Seoul","Clear",10000,26.42,26.42,26.42,1010,47,3.6,82,"2024-07-14 00:00:00"
"Seoul","Clear",10000,30.3,30.3,30.3,1010,37,4.73,104,"2024-07-14 03:00:00"
"Seoul","Clear",10000,32.8,32.8,32.8,1010,32,3.97,108,"2024-07-14 06:00:00"
"Seoul","Clear",10000,31.61,31.61,31.61,1010,35,4.58,132,"2024-07-14 09:00:00"
"Washington, D.C.","Clear",10000,21.71,21.09,21.71,1012,43,1.85,288,"2024-07-09 12:00:00"
"Washington, D.C.","Clear",10000,23.91,23.91,28.32,1012,37,1.23,359,"2024-07-09 15:00:00"
"Washington, D.C.","Clear",10000,31.02,31.02,35.68,1011,25,1.9,95,"2024-07-09 18:00:00"
"Washington, D.C.","Clear",10000,40.34,40.34,40.34,1008,11,3.27,95,"2024-07-09 21:00:00"
"Washington, D.C.","Clear",10000,41.6,41.6,41.6,1006,8,1.03,149,"2024-07-10 00:00:00"
"Washington, D.C.","Clear",10000,33.6,33.6,33.6,1007,20,2.57,312,"2024-07-10 03:00:00"
"Washington, D.C.","Clear",10000,23.9,23.9,23.9,1010,34,2.89,285,"2024-07-10 06:00:00"
"Washington, D.C.","Clear",10000,21.61,21.61,21.61,1011,28,2.65,285,"2024-07-10 09:00:00"
"Washington, D.C.","Clear",10000,20.7,20.7,20.7,1011,33,2.81,288,"2024-07-10 12:00:00"
"Washington, D.C.","Clear",10000,29.5,29.5,29.5,1011,22,1.92,316,"2024-07-10 15:00:00"
"Washington, D.C.","Clear",10000,37.49,37.49,37.49,1010,13,2.86,350,"2024-07-10 18:00:00"
"Washington, D.C.","Clear",10000,39.56,39.56,39.56,1008,10,4.91,331,"2024-07-10 21:00:00"
"Washington, D.C.","Clear",10000,37.68,37.68,37.68,1008,10,5.66,324,"2024-07-11 00:00:00"
"Washington, D.C.","Clear",10000,29.01,29.01,29.01,1010,21,3.54,306,"2024-07-11 03:00:00"
"Washington, D.C.","Clear",10000,19.27,19.27,19.27,1012,51,3.3,287,"2024-07-11 06:00:00"
"Washington, D.C.","Clear",10000,17.16,17.16,17.16,1013,46,3.12,293,"2024-07-11 09:00:00"
"Washington, D.C.","Clear",10000,16.03,16.03,16.03,1013,49,2.88,292,"2024-07-11 12:00:00"
