"","Country","City / Region","Name","System","Operator","Launched","Discontinued"
"1","Albania","Tirana[5]","Ecovolis","","","March 2011",""
"2","Argentina","Buenos Aires[6][7]","Ecobici","Serttel Brasil[8]","Bike In Baires Consortium[9]","2010",""
"3","Argentina","Mendoza[10]","Metrobici","","","2014",""
"4","Argentina","Rosario","Mi Bici Tu Bici[11]","","","2 December 2015",""
"5","Argentina","San Lorenzo, Santa Fe","Biciudad","Biciudad","","27 November 2016",""
"6","Australia","Melbourne[12]","Melbourne Bike Share","PBSC & 8D","Motivate","June 2010","30 November 2019[13]"
"7","Australia","Melbourne[12]","oBike","4 Gen. oBike","","July 2017","July 2018"
"8","Australia","Brisbane[14][15]","CityCycle","3 Gen. Cyclocity","JCDecaux","September 2010",""
"9","Australia","Sydney","Reddy Go","Reddy Go","","July 2017",""
"10","Australia","Sydney","oBike","4 Gen. oBike","","July 2017","July 2018"
"11","Australia","Sydney","Ofo","4 Gen. Ofo","","October 2017","Discontinued"
"12","Austria","Burgenland","nextbike[16]","3 Gen. nextbike","","2009",""
"13","Austria","Innsbruck","nextbike[16]","","","",""
"14","Austria","Klagenfurt am Wörthersee","nextbike[16]","","","",""
"15","Austria","Kufstein","nextbike[16]","","","",""
"16","Austria","Lower Austria[17]","nextbike[16]","3 Gen. nextbike","","2009",""
"17","Austria","Salzburg","nextbike[16]","3 Gen. nextbike","","2011",""
"18","Austria","Vienna","Citybike Wien[18]","3 Gen. Cyclocity","JCDecaux Gewista","June 2003",""
"19","Austria","Vienna","nextbike[16]","","","",""
"20","Austria","Vienna","Viennabike","2 Gen.","Association and city council","April 2002","November 2002"
"21","Austria","Vorarlberg","nextbike","3 Gen. nextbike","","2009","Discontinued"
"22","Bangladesh","Dhaka","JoBike","JoBike","","2018",""
"23","Belgium","Antwerp","Velo Antwerp[19]","3 Gen. Clear CC","Service2Cities (subsidiary of Clear Channel Belgium)","9 June 2011",""
"24","Belgium","Antwerp","Donkey Republic[20]","","","",""
"25","Belgium","Brussels[21]","Bolt[22]","","","",""
"26","Belgium","Brussels[21]","Villo!","3 Gen. Cyclocity","JCDecaux","19 May 2009 (earlier system since 2006)",""
"27","Belgium","Ghent","Donkey Republic[20]","","","",""
"28","Belgium","Namur[23]","Bolt","","","",""
"29","Belgium","Namur[23]","Libiavelo","3 Gen. Cyclocity","JCDecaux","21 April 2012",""
"30","Belgium","Various locations[24]","dBlue-bike","Blue-bike","Blue-Mobility","1 May 2011",""
"31","Belgium","Various locations","Donkey Republic[20]","","","",""
"32","Bosnia and Herzegovina","Banja Luka","BL bike[16]","3 Gen. nextbike","nextbike","3 April 2018",""
"33","Bosnia and Herzegovina","Mostar","nextbike[16]","3 Gen. nextbike","","26 March 2023",""
"34","Bosnia and Herzegovina","Sarajevo","nextbike[16]","3 Gen. nextbike","","1 June 2016",""
"35","Bosnia and Herzegovina","Tuzla","nextbike","3 Gen. nextbike","","14 July 2017","1 May 2019"
"36","Bosnia and Herzegovina","Zenica","nextbike[16]","3 Gen. nextbike","","11 October 2019",""
"37","Brazil","Belo Horizonte[25]","Bikebh","Mobilicidade","","2014",""
